id,device,timestamp,HIGH_ACTIVITY_INTERVALS,LOW_ACTIVITY_INTERVALS,TOTAL_INTERVALS
db6e78c3-8b15-46d9-9c61-b1e427fdeacf-21,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336645872,6,1,15
db6e78c3-8b15-46d9-9c61-b1e427fdeacf-24,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336645992,7,4,15
db6e78c3-8b15-46d9-9c61-b1e427fdeacf-27,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336646112,0,0,15
db6e78c3-8b15-46d9-9c61-b1e427fdeacf-30,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336646232,1,0,15
db6e78c3-8b15-46d9-9c61-b1e427fdeacf-35,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336646352,0,0,15
db6e78c3-8b15-46d9-9c61-b1e427fdeacf-38,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336646472,0,0,15
db6e78c3-8b15-46d9-9c61-b1e427fdeacf-42,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336646606,0,0,1
db6e78c3-8b15-46d9-9c61-b1e427fdeacf-44,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336646712,0,4,15
db6e78c3-8b15-46d9-9c61-b1e427fdeacf-47,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336646832,0,1,15
a36892bd-3e87-4808-b910-b18592f42faf-2,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336643356,8,0,11
a36892bd-3e87-4808-b910-b18592f42faf-5,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336643472,0,0,15
a36892bd-3e87-4808-b910-b18592f42faf-9,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336643592,0,0,15
a36892bd-3e87-4808-b910-b18592f42faf-12,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336643712,0,0,12
a36892bd-3e87-4808-b910-b18592f42faf-13,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336643726,0,0,1
a36892bd-3e87-4808-b910-b18592f42faf-15,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336643832,0,0,15
a36892bd-3e87-4808-b910-b18592f42faf-20,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336643952,0,0,15
a36892bd-3e87-4808-b910-b18592f42faf-23,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336644072,3,3,15
a36892bd-3e87-4808-b910-b18592f42faf-27,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336644192,14,0,15
a36892bd-3e87-4808-b910-b18592f42faf-30,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336644312,14,0,15
a36892bd-3e87-4808-b910-b18592f42faf-33,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336644432,1,0,15
a36892bd-3e87-4808-b910-b18592f42faf-36,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336644552,14,0,15
a36892bd-3e87-4808-b910-b18592f42faf-39,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336644672,4,0,15
a36892bd-3e87-4808-b910-b18592f42faf-43,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336644792,12,1,15
a36892bd-3e87-4808-b910-b18592f42faf-47,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336644912,14,0,15
a36892bd-3e87-4808-b910-b18592f42faf-50,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336645032,14,0,15
a36892bd-3e87-4808-b910-b18592f42faf-54,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336645152,9,3,15
a36892bd-3e87-4808-b910-b18592f42faf-56,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336645272,13,0,15
d2c0c1ca-7925-4bcb-916b-e0d0475a54e1-5,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336648992,14,0,15
