id,device,timestamp,health,icon-small,invalid_charger,level,plugged,present,scale,status,technology,temperature,voltage
6d8204f4-5045-420f-a23c-b51d50e1f452-44,f416bdb2-3848-480a-ab11-77e91a3568b3,1337024443,2,17302707,0,46,0,True,100,4,Li-ion,282,7495
cb187668-3485-4f0c-8b35-663a5bea80fd-6,f416bdb2-3848-480a-ab11-77e91a3568b3,1337024743,2,17302707,0,45,0,True,100,4,Li-ion,282,7485
cb187668-3485-4f0c-8b35-663a5bea80fd-8,f416bdb2-3848-480a-ab11-77e91a3568b3,1337024743,2,17302707,0,45,0,True,100,4,Li-ion,282,7485
cb187668-3485-4f0c-8b35-663a5bea80fd-12,f416bdb2-3848-480a-ab11-77e91a3568b3,1337024993,2,17302707,0,44,0,True,100,4,Li-ion,281,7485
cb187668-3485-4f0c-8b35-663a5bea80fd-14,f416bdb2-3848-480a-ab11-77e91a3568b3,1337024993,2,17302707,0,44,0,True,100,4,Li-ion,281,7485
cb187668-3485-4f0c-8b35-663a5bea80fd-17,f416bdb2-3848-480a-ab11-77e91a3568b3,1337025193,2,17302707,0,43,0,True,100,4,Li-ion,281,7476
cb187668-3485-4f0c-8b35-663a5bea80fd-21,f416bdb2-3848-480a-ab11-77e91a3568b3,1337025193,2,17302707,0,43,0,True,100,4,Li-ion,281,7476
cb187668-3485-4f0c-8b35-663a5bea80fd-23,f416bdb2-3848-480a-ab11-77e91a3568b3,1337025494,2,17302707,0,42,0,True,100,4,Li-ion,281,7476
cb187668-3485-4f0c-8b35-663a5bea80fd-27,f416bdb2-3848-480a-ab11-77e91a3568b3,1337025644,2,17302707,0,41,0,True,100,4,Li-ion,281,7466
cb187668-3485-4f0c-8b35-663a5bea80fd-29,f416bdb2-3848-480a-ab11-77e91a3568b3,1337025644,2,17302707,0,41,0,True,100,4,Li-ion,281,7466
cb187668-3485-4f0c-8b35-663a5bea80fd-33,f416bdb2-3848-480a-ab11-77e91a3568b3,1337025948,2,17302707,0,40,0,True,100,4,Li-ion,280,7466
cb187668-3485-4f0c-8b35-663a5bea80fd-35,f416bdb2-3848-480a-ab11-77e91a3568b3,1337025948,2,17302707,0,40,0,True,100,4,Li-ion,280,7466
cb187668-3485-4f0c-8b35-663a5bea80fd-37,f416bdb2-3848-480a-ab11-77e91a3568b3,1337026098,2,17302707,0,39,0,True,100,4,Li-ion,280,7456
